CourseName,CourseCode,Department
MSc Data Science,DTSAMS,CSIS
MSc Data Science,DTSMS,CSIS
MSc IT Project Management,IPMMS,CSIS
MSc IT Project Management,IPMPRD,CSIS
MSc Multimedia Applications,TIPRD,CSIS
MSc Network Systems,NESPRD,CSIS
MSc Software Engineering,SEPRD,CSIS
PhD Computer Science,CSPHD,CSIS
Research Skills in Computing (Teesside University Main Campus),CIS2025N-T,CSIS
UCPD Conceptual Design and Creativity (Teesside University Main Campus),CIS1023N-T,CSIS
UCPD Information Technology Subjects (Untitled),ITUPD,CSIS
UCPPD IT Subjects (Untitled),ITPPD,CSIS
BSc (Hons) Health Informatics,HIFBS,CSIS
BA (Hons) 2D Animation,TDABA,GAV
BA (Hons) Computer Animation,AVSNG,GAV
BA (Hons) Computer Animation,AVBA,GAV
BA (Hons) Computer Animation (with Foundation Year),AVFSNG,GAV
BA (Hons) Computer Animation and Visual Effects,CVESNG,GAV
BA (Hons) Computer Animation and Visual Effects (with Foundation Year),CVEFSNG,GAV
BA (Hons) Computer Character Animation,CCHSNG,GAV
BA (Hons) Computer Character Animation (with Foundation Year),CCHFSNG,GAV
BA (Hons) Computer Games Animation,CANSNG,GAV
BA (Hons) Computer Games Animation (with Foundation Year),CANFSNG,GAV
BA (Hons) Computer Games Art,ZDSNG,GAV
BA (Hons) Computer Games Art (with Foundation Year),ZDFSNG,GAV
BA (Hons) Computer Games Design,GMSNG,GAV
BA (Hons) Computer Games Design (with Foundation Year),GMFSNG,GAV
BA (Hons) Indie Games Development,IGDSNG,GAV
BA (Hons) Visual Effects,VIWBA,GAV
BSc (Hons) Technical Game Development,TGDBS,GAV
MA 3D Games Art,TDGMA,GAV
MA 3D Games Art,ATDGMA,GAV
MA Animation,AQMA,GAV
MA Animation,AQMA1,GAV
MA Comics and Graphic Novels,CGNMA,GAV
MA Computer Animation,AVPRD,GAV
MA Computer Animation and Visual Effects,CVEMA,GAV
MA Computer Animation and Visual Effects,CVEPRD,GAV
MA Computer Character Animation,CHAPRD,GAV
MA Computer Games Art,COGPRD,GAV
MA Computer Games Art (Character),CACPRD,GAV
MA Computer Games Art (Environment),CAEPRD,GAV
MA Concept Art,CMA,GAV
MA Concept Art for Games and Animation,AGAMA,GAV
MA Concept Art for Games and Animation,AGAPRD,GAV
MA Creative Digital Media,ZEPRD,GAV
MA Digital Animation Sound and Visual Media,ASVPRD,GAV
MA Digital Character Animation,DCAPRD,GAV
MA Games Design,GMA,GAV
MA Games Design,AGMA,GAV
MA Games Development,GPDMA,GAV
MA Games Development,GPDPRD,GAV
MA Visual Effects,VIEAMA,GAV
MComp (Hons) Computer Games Design,CGVIMO,GAV
MComp (Hons) Computer Games Programming,CGPPRD,GAV
MComp (Hons) Computer Science,CSCPRD,GAV
MComp (Hons) Games Development,GDEPRD,GAV
MComp (Hons) Visual Effects,VIEIMO,GAV
MSc Technical Direction for Visual Effects,TVEMS,GAV
PhD Games Animation,GANDPH,GAV
UCPD Animation Pre-production (Teesside University Main Campus),GAV1038N-T,GAV
UCPD Drawing for Animation (Teesside University Main Campus),GAV1037N-T,GAV
UCPD Games Prototyping (Teesside University Main Campus),GAV1039N-T,GAV
